"nombre_archivo","carpeta_origen","tecnica","fecha","codigo_participante","tipo_participante","id_evidencia","formato_ext","duracion","codec","tamano_bytes","hash_sha256"
"2026-05-17_PropietarioMascota_PROP-01_Entrevista.mp3","Audio","Entrevista_Audio","2026-05-17","PROP-01","PropietarioMascota","EV-01","MP3","00:04:58","MP3","4769062","0C73DCA1F0B44F7BF4B9195A3592A7B32A2EFC124D889DE803BD457FD5FE8DF8"
"2026-05-17_PropietarioMascota_PROP-02_Entrevista.mp3","Audio","Entrevista_Audio","2026-05-17","PROP-02","PropietarioMascota","EV-02, EV-20","MP3","00:06:32","MP3","6822418","EB46C71771A2D5F02B29C4769C51518F04E00987E4360626AACACB82574947C8"
"2026-05-17_Veterinaria_VET-01_Entrevista.mp3","Audio","Entrevista_Audio","2026-05-17","VET-01","Veterinaria","EV-03","MP3","00:26:37","MP3","11182425","0112748ECF07C237F4061DFC12281C924CDCA9B32A03FBE7358D05B4AA899F77"
"2026-05-17_Veterinario_VET-02_Entrevista.mp3","Audio","Entrevista_Audio","2026-05-17","VET-02","Veterinario","EV-04","MP3","00:17:26","MP3","25124724","95226D10A8B800D527A06AF2575ECB4B5CF31B2D41F10D7864DCAC6BE20EE834"
"2026-05-29_Veterinario_VET-03_Entrevista.mp3","Audio","Entrevista_Audio","2026-05-29","VET-03","Veterinario","EV-05","MP3","00:10:10","MP3","9769876","B5000B44FD13092548E6F339AA2EC5F2E462C508AF55E7E4465CFC02B0BB5027"
"2026-06-14_PropietarioMascota_PROP-03_Entrevista.mp3","Audio","Entrevista_Audio","2026-06-14","PROP-03","PropietarioMascota","EV-06","MP3","00:05:39","MP3","4416405","7EF426A5C42E0BEF77474AF5B50E7100FAA821A9722383B126F02F649FDB360C"
"2026-07-23_PropietarioMascota_PROP-08_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-23","PROP-08","PropietarioMascota","EV-13, EV-19","MP3","00:15:42","MP3","15076756","34E2959FA9F6C0BF91CCA6C61DA021F61059B375EBACCAABFD20511787FCC72C"
"2026-07-24_PropietarioMascota_PROP-06_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-24","PROP-06","PropietarioMascota","EV-11","MP3","00:14:51","MP3","11234565","D70CEAA2A6FE783AABA2D09730A8D0BF6355DEF413C126557B7D291DBFCE5F8B"
"2026-07-25_PropietarioMascota_PROP-09_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-25","PROP-09","PropietarioMascota","EV-14","MP3","00:27:11","MP3","39167510","3CC86FEE97B19DCB74D95D4DC45A5B2EFA873CEF8FFA46D9ED23E25476AAC9A3"
"2026-07-25_Veterinario_VET-05_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-25","VET-05","Veterinario","EV-16","MP3","00:22:28","MP3","21576340","F084663CAE45314E3756DFC18EB58293060305B94B52FCD87AF82F434E7AB71A"
"2026-07-26_PropietarioMascota_PROP-04_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-26","PROP-04","PropietarioMascota","EV-09","MP3","00:21:27","MP3","20596762","0EFD8DFFDAC24BAFD7AD61B022C31E58A610E7A4076B69B62FA1753BBB185ADB"
"2026-07-26_PropietarioMascota_PROP-05_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-26","PROP-05","PropietarioMascota","EV-10","MP3","00:18:47","MP3","18037402","E29444CB174D9F09C8139936E9A3B52A1C2EA58A7AE2FCFCBA57B2C55E79B4FE"
"2026-07-26_PropietarioMascota_PROP-07_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-26","PROP-07","PropietarioMascota","EV-12","MP3","00:09:38","MP3","13894997","F122983B1C2CEB12963483A11EDD2F50CF2AC4CB111A8D3736F6278942BA9B38"
"2026-07-26_PropietarioMascota_PROP-10_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-26","PROP-10","PropietarioMascota","EV-17","MP3","00:16:23","MP3","15735891","A0E9C9E83445CAC8F51531BDBAF13C172A48323F5B2D5C3F7ECF1110DA11F02A"
"2026-07-26_PropietarioMascota_PROP-11_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-26","PROP-11","PropietarioMascota","EV-18","MP3","00:13:04","MP3","12548116","60111E5A5188B6AA3783E9C3962D5B8F114A537201A62E9BFABF505EE952DE12"
"2026-07-27_Veterinario_VET-04_Entrevista.mp3","Audio","Entrevista_Audio","2026-07-27","VET-04","Veterinario","EV-15, EV-21","MP3","00:18:03","MP3","17331347","43E11D1EF58BA9E808B705A588ACD833C1CC3DEF354B6F315BA4008D6C475A11"
"2026-08-13_Veterinario_VET-07_Entrevista.mp3","Audio","Entrevista_Audio","2026-08-13","VET-07","Veterinario","EV-23","MP3","00:15:59","MP3","19498299","D613712E220537D211F8E2F826685EB60EB666ECF378204722C77199404998AE"
"2026-08-14_PropietarioMascota_PROP-12_Entrevista.mp3","Audio","Entrevista_Audio","2026-08-14","PROP-12","PropietarioMascota","EV-24","MP3","00:16:31","MP3","15859348","D53E647FA6BC5A4A0CDDEDC598502D811AE067979D3E95BBD8B4474C422546DE"
"2026-05-17_PropietarioMascota_PROP-01_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-05-17","PROP-01","PropietarioMascota","EV-01","JPEG","N/A","N/A","108709","920F5A2AA95A2171AAF71E0FBC64012EFCADB310D5AA98B980BB7FC7D80FE52F"
"2026-05-17_PropietarioMascota_PROP-02_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-05-17","PROP-02","PropietarioMascota","EV-02, EV-20","JPEG","N/A","N/A","1116132","56419E19F2381BA18F2BE5845E99A19603E1C79AC10FDE61DE013788DDE35F16"
"2026-05-17_Veterinario_VET-01_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-05-17","VET-01","Veterinario","EV-03","JPEG","N/A","N/A","581651","2E42D4463E2631012CBDC2B42508A3824F630A65CBF564537B5E2DDB08C06E5A"
"2026-05-17_Veterinario_VET-02_Consentimiento.png","Consentimientos","Consentimiento","2026-05-17","VET-02","Veterinario","EV-04","PNG","N/A","N/A","168030","446226150FE0C545728C7E21463F597BF8D13E14A2FFDB68810B679B94AAD358"
"2026-05-29_Veterinario_VET-03_Consentimiento.png","Consentimientos","Consentimiento","2026-05-29","VET-03","Veterinario","EV-05","PNG","N/A","N/A","823698","0725F159B1FA8BCB91E97300A1847CE1C87FA812D4DF23036B5F3E7BB79B1BF4"
"2026-06-14_PropietarioMascota_PROP-03_Consentimiento.png","Consentimientos","Consentimiento","2026-06-14","PROP-03","PropietarioMascota","EV-06","PNG","N/A","N/A","169376","70DB2DDE5982EB1CF8F3CBDC09E95B8CBBE8036A7ACE53A30AA2AA1C6D5D9FD7"
"2026-07-23_PropietarioMascota_PROP-08_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-07-23","PROP-08","PropietarioMascota","EV-13, EV-19","JPEG","N/A","N/A","156568","F26DEBE85ABCCC8BEA88E97EB0C2D8DD221BCEB575399394BA3CFF8ED48D1F01"
"2026-07-24_PropietarioMascota_PROP-06_Consentimiento.png","Consentimientos","Consentimiento","2026-07-24","PROP-06","PropietarioMascota","EV-11","PNG","N/A","N/A","1643827","D6AFF2B170DABF9D388126A0912EDEAAF264319C57DD93F29D3997DD210CDBC7"
"2026-07-25_Veterinario_VET-05_Consentimiento.jpg","Consentimientos","Consentimiento","2026-07-25","VET-05","Veterinario","EV-16","JPG","N/A","N/A","150906","629E657BCD3EA8FFF807602B7121A542DA54126AE15FC76674DA5B49BE19018D"
"2026-07-26_PropietarioMascota_PROP-04_Consentimiento.jpg","Consentimientos","Consentimiento","2026-07-26","PROP-04","PropietarioMascota","EV-09","JPG","N/A","N/A","608515","58E69E20A60A7C191FDC9EBC2623B0D66B0F51F936598548ADEEDB1379EBCCE3"
"2026-07-26_PropietarioMascota_PROP-05_Consentimiento.jpg","Consentimientos","Consentimiento","2026-07-26","PROP-05","PropietarioMascota","EV-10","JPG","N/A","N/A","625176","F99ECA5DD93C0B4F5B3BCB68B09F0285B31161A8A1B6129119B792A16772A281"
"2026-07-26_PropietarioMascota_PROP-07_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-07-26","PROP-07","PropietarioMascota","EV-12","JPEG","N/A","N/A","1073650","516367E08E5516B2452FB45EE269A5BA6DBE5D798303B227D8CBD79D66BAA05E"
"2026-07-26_PropietarioMascota_PROP-10_Consentimiento.jpeg","Consentimientos","Consentimiento","2026-07-26","PROP-10","PropietarioMascota","EV-17","JPEG","N/A","N/A","370656","6252AA3AC2AAD66848432FF9B71E91108E5EF4AD7F5437B7CBD3E15349116D62"
