Métrica;Valor / Estadístico;IC 95% / Detalle
Exactitud;0.8033;[0.7049, 0.9016]
Precision;0.6000;[0.3750, 0.8125]
Sensibilidad;0.7500;[0.5000, 0.9412]
Especificidad;0.8222;[0.7027, 0.9269]
F1;0.6667;[0.4571, 0.8205]
Kappa_detector_consenso;0.5296;[0.2797, 0.7369]
;;
Prueba de hipótesis;Chi-cuadrado de independencia (Pearson, corrección de continuidad);
Estadístico (chi2);15.0374;gl=1
Valor p;0.0001;N=61
Tamaño del efecto (phi);0.4965;
Interpretación;El detector está asociado con el consenso experto más allá del azar (p=0.0001<0.05).;
